WiNet-diff
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9768127854446366,0.8316005141496119,0.7180169070678548,0.8849647589412573,0.4864864805099941,0.7938815687433343,0.8533857703140556,0.8547155603534168,0.8455897749365286,0.8022907001160888,0.7829439764505693,0.8177810403461386,0.8227471551657968,0.8967135314166628,0.8291638485134507,0.8216313091675191,0.7188940064558601,0.595655216568639,0.8311390947995239,0.4687499267578239,0.37578287838703633,0.8305272631723618,0.7166298069852842,0.8674346567126876,0.6197183044038882,0.815837268187481,0.8556554922773612,0.8732013410834137,0.8559330777073912,0.7835785914485157,0.813135983318372,0.847022899901249,0.8230112831736546,0.6378600779296291,0.8401529628679226,0.1355931973570852,0.5002568027721788,0.0,0.008896797073871912,0.0,0.5467625800941982,0.0,0.0,0.0,0.0,0.0,0.006438627697172619
p_1,0.9727973162332897,0.8309560292881294,0.6791653249466988,0.8872462329747308,0.3656147947158347,0.7902237203007907,0.8290298586172897,0.8633210487408839,0.8383049890740104,0.6961338710950561,0.6829495215562933,0.8220904343139717,0.7874414961243341,0.8740091714272642,0.8340319264835174,0.774261049504941,0.700043531998069,0.5146641389341141,0.8307986601331433,0.17391300567108572,0.3314191933435669,0.8278301806657402,0.6781796922743611,0.8752127795053849,0.535528591546546,0.7972591695006143,0.8076743488575817,0.8839550024369716,0.80603393990442,0.7033190328479126,0.7021834045803856,0.8195371802620167,0.8448043162083554,0.6735572724069141,0.8153495432984902,0.0,0.348162473577289,0.0,0.008207934224241667,0.0,0.3328244223996272,0.0,0.0,0.0,0.0,0.0,0.007566470191592262
p_2,0.9744559446896642,0.8385528225243234,0.6906081123221641,0.8284042380576708,0.26256409987113744,0.8121496821619202,0.8497720892553777,0.86801557226078,0.836373685964105,0.781290004154318,0.7672371619382954,0.759600611522271,0.8487266019504042,0.890165856778327,0.7603191111569902,0.8126664669645858,0.7155883598975754,0.5815470588858616,0.8309352510513173,0.0,0.4458874426703648,0.8383541079832761,0.6927689720565858,0.8451417624033963,0.4135265660528834,0.8452850149860375,0.8814104898643285,0.8971203244729834,0.8343475309880358,0.7900770524430774,0.7564637181891917,0.7865445933684347,0.8080910219770138,0.6473339509136207,0.8266742762303327,0.5961537888313665,0.4281024266047116,0.0,0.0,0.0,0.41188958785797053,0.0,0.0,0.0,0.0,0.0,0.009880429222470238
p_3,0.9755161480538878,0.8274109125111364,0.717422795524301,0.9064150940953059,0.29476248118437903,0.7780658789404059,0.8296622844344121,0.8761663397787315,0.8492028334264805,0.8101826223850004,0.7460240945878938,0.8364013460295531,0.7682119187128384,0.8592980106536695,0.8059701484517711,0.7479173071647105,0.6797287088179024,0.6655870391450442,0.8424046279862659,0.33962257742970237,0.3524057194251904,0.826449586568228,0.7079688333766255,0.9109822544622563,0.4377564919595555,0.7719869704375082,0.836212013009563,0.8819357524989954,0.8403326394591137,0.8306749564470803,0.786785258483392,0.8393253003958311,0.7824717901273371,0.7232653002182424,0.8321888403088102,0.23529407151096635,0.4467849199180437,0.0,0.006631299690773875,0.0,0.5841392536916973,0.0,0.0,0.0,0.0,0.0,0.006946382068452381
p_4,0.9710767791786363,0.8295557392057978,0.7037514718380803,0.759137125062423,0.2831325272777859,0.8077612671477928,0.8569825930032631,0.8526218947320047,0.7734652450869289,0.7544531691683076,0.7356415463632555,0.7180180147837025,0.7315260150163402,0.859699112565559,0.7792816234779788,0.7708066561567051,0.6073341548935551,0.5189873376662394,0.793736919003382,0.15151512855831384,0.07661822884255973,0.8305653765263805,0.7071532647505722,0.7900680092454331,0.4641192873800626,0.7953657426634789,0.856106206276496,0.8819995189223747,0.7555343956730132,0.6834592772801015,0.7414885179305454,0.7994392208482276,0.7901402062638169,0.6491112531329082,0.7891857600973712,0.0338982993392713,0.2203811083646967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011444818405877976
p_5,0.9742921994149143,0.8383955659328503,0.690687073373682,0.8117048341138344,0.2787286029495281,0.7891889390573409,0.8170234017681919,0.8788245647816286,0.8355342125709828,0.6409317796550951,0.3711781048296385,0.750266804961223,0.6987025451737084,0.8786399897569486,0.7784211002863514,0.758146637581093,0.6994189080854786,0.6526684107378092,0.8431460666578463,0.0,0.11195928610738821,0.8384483255241846,0.697691863981995,0.8590300707694362,0.4408945639947331,0.6939236153861739,0.8069673108508334,0.8887992619907817,0.8470446310650849,0.7888909731761203,0.7431212838584168,0.8276056330257224,0.8303000471463353,0.7034930893298693,0.8444953245139332,0.38235288494810515,0.3488023925987845,0.0,0.006349206248425298,0.0,0.6265560035984232,0.0,0.0,0.0,0.0,0.0,0.008635748000372024
p_6,0.9786724068589202,0.8374493792061386,0.7325754365349226,0.8059798079174347,0.291105117370551,0.8125290655689976,0.8456890240669943,0.8886790573060933,0.8341172772717494,0.7663033430941222,0.7553047387013437,0.7026209642004991,0.7764534157712153,0.8874672335366584,0.8154689394889678,0.8219108259314374,0.6320131987128168,0.5437229390153858,0.8473261283390356,0.041666657986112916,0.18241042147219955,0.8381869536693152,0.7179811795525682,0.7630114560040823,0.3893129721461454,0.8279517810709418,0.8509378638272888,0.897474458902933,0.8357615884814994,0.7923169260390461,0.7743993179366376,0.8196784434199688,0.8282133181906774,0.6580459722841525,0.8506382159929147,0.04878047590720099,0.22827938476763726,0.0,0.0,0.0,0.3589743506066585,0.0,0.0,0.0,0.0,0.0,0.005509149460565476
p_7,0.9734007368302102,0.8131665944825033,0.7020446288279194,0.8310322983970663,0.3493723812827157,0.7807907831849228,0.7521049986485296,0.8480377687530022,0.7784365079574845,0.6937804210992099,0.7174796729738829,0.8319870725687113,0.6900441375918486,0.8284221754720924,0.7633619778208321,0.7908208273291532,0.7437185898504246,0.5331991898068492,0.824546071633609,0.0,0.20898641369920154,0.8088401078958327,0.6911365268236637,0.8323397408852973,0.29798657318138827,0.7922780554159606,0.7208710665829754,0.887795880179652,0.8146481679606947,0.6654026314238204,0.7402531626829033,0.8083455642604891,0.8020565529789873,0.6199203137854955,0.8191926266461058,0.0,0.37886792166892136,0.0,0.009160305203659463,0.0,0.2639296110284572,0.0,0.0,0.0,0.0,0.0,0.011080206008184525
p_8,0.9701810549291885,0.8081791775389527,0.6158412943166673,0.9228950716634123,0.5999999977099236,0.837534683028061,0.8500101028511103,0.8665236324903949,0.8303050315710769,0.8231762772210512,0.7923983622987771,0.8692724876205864,0.8427871688374354,0.8862028088497785,0.781228590110495,0.8084815293827581,0.7245938771265814,0.6466019354698841,0.837856925801779,0.08163263640150277,0.3951762504861955,0.7981464485508729,0.6231159648461074,0.917014489944953,0.665121666028885,0.849577464536819,0.8705752813284641,0.8823775049538019,0.7870360223507763,0.8283090428944809,0.7817589558358331,0.7620201032311734,0.8174386896232555,0.6840521496083034,0.8203720638198922,0.46808500679042403,0.4567901218902945,0.0,0.002532714220066032,0.0,0.5862708611081473,0.0,0.0,0.0,0.0,0.0,0.006860787527901786
p_9,0.9718017809557892,0.8261547385851559,0.7206965907067318,0.8006840620065736,0.1648522524906337,0.815074577824128,0.8392086759123342,0.7847247207697352,0.7327401726177045,0.6628634517272144,0.5941485360199765,0.7203124971862792,0.8074698383614778,0.8630608120324094,0.798681540907132,0.783389993240918,0.6754474816769757,0.5927868813587746,0.7971728415812288,0.0,0.08196721215495067,0.8269713677816057,0.7159991998513074,0.8469868359377695,0.28912466460046865,0.8204307062052281,0.8749275032859944,0.8472891711736376,0.7985089655465354,0.6686431804424109,0.6802070874547848,0.8184702142946156,0.7431481912608582,0.6136071847650373,0.8219307941049686,0.0,0.32432432270107947,0.0,0.007050528706809299,0.0,0.22166246293041655,0.0,0.0,0.0,0.0,0.0,0.010189383370535715
