WiNet-diff
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9734445149653963,0.8109934669831251,0.6753626988190387,0.8817763138699214,0.4590570662648007,0.8077120664810032,0.8567425709478719,0.8535533264026997,0.8475982976993482,0.829980415853676,0.7972493327478941,0.7981961638549561,0.8312030059563854,0.9000247987919323,0.823344202380137,0.8103911591209579,0.7238307322797671,0.6118466856317304,0.8367582092982925,0.44117640570935207,0.3722149385831262,0.813391560463336,0.6832303937332947,0.8643581668889968,0.613259662861329,0.8204327858517864,0.8498094305602255,0.8715199907720177,0.8525302692201902,0.7939782540712031,0.8206912530255365,0.8416009573394541,0.8071648452080469,0.6407894694684904,0.8500095649033771,0.199999960000008,0.5384615357365307,0.0,0.005357142809311225,0.0,0.5655430605703547,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9688598765105383,0.8072206948294975,0.6309818521961489,0.8815999429518102,0.37557603253944666,0.793808143766507,0.8280749659846103,0.859676977355775,0.833265498801702,0.7287633788103355,0.729598586833704,0.8189910948850478,0.7972508574949447,0.9038661467017761,0.8395018410458676,0.7781482411435028,0.7066436552776373,0.5641025585394225,0.8303571420684298,0.19047614512472733,0.3216326504356518,0.8077560909008047,0.6398405773121473,0.870072992315827,0.5118035834579454,0.8015267173672356,0.8122318652460698,0.8730244571401812,0.8104999989868751,0.7133439409941533,0.729108483933172,0.8167143244933914,0.860050888396817,0.6808510580353102,0.7896500364951136,0.0,0.37684887217460533,0.0,0.008219177969600302,0.0,0.4852070910215564,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9697293233997109,0.8185343121256233,0.6380956487898272,0.8188230335725745,0.2603406294362454,0.8165831142896519,0.8414895442710599,0.8761269871175744,0.8281791695629189,0.7848224728981443,0.7660194156164578,0.7732079875706698,0.8313366947803646,0.900826305902773,0.7786987614639506,0.8139468396286171,0.7278825965287941,0.574007215036036,0.8451138727473788,0.0,0.42324887911140924,0.8216688564077222,0.6511869014976145,0.8368375747959932,0.43040684764018367,0.8374269608466242,0.8738371553895224,0.9002378115931999,0.8442679073493112,0.7862462068711537,0.7660297223651173,0.8132275668968502,0.8065906189947005,0.6600181263824286,0.8231566812373688,0.55319143051155,0.435526312924169,0.0,0.0,0.0,0.401937036272711,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9719274724968392,0.8054085755537471,0.669469496421139,0.902573827986298,0.33373639257876186,0.7925410910279898,0.8310619454529689,0.8730941699141849,0.8394742503345461,0.809081716325874,0.7680555537776492,0.8324125208302748,0.7797604478617441,0.8859596230771233,0.8061214341586789,0.76572797853287,0.631343281226331,0.6429149745512958,0.8419876020302941,0.38095229024945465,0.3892027596409117,0.8028395999284701,0.6652965355160612,0.904112843087123,0.4512534756092831,0.7896167786154787,0.8428164742158056,0.886534110675953,0.839487883991654,0.8333032646280866,0.7913066226988567,0.8306411645717559,0.8188055887705067,0.7026169650863048,0.8484335300080086,0.338982993392713,0.45024469575723386,0.0,0.0026560424790435426,0.0,0.5653021332299779,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.966008223246777,0.8039444686935878,0.6518097775706087,0.7503890650582657,0.3098901064847241,0.8053028834901047,0.8551609896984124,0.8471490616176189,0.7680503134993079,0.78005375773468,0.7628582631274867,0.700749225646764,0.7353982284615084,0.8986663800588286,0.7897737080758562,0.7923290416544813,0.6094627080614967,0.5423728769784272,0.8059838186490735,0.1777777382716137,0.09957325605158954,0.8099300669027488,0.6599868382423681,0.7792832716352518,0.48601735307601396,0.784412978365047,0.8483636972511813,0.8698141584405773,0.7531261155732689,0.7257991889006761,0.7582078007759603,0.8057105342913435,0.8076505090031504,0.6029810257250608,0.8074108665674834,0.0,0.22277639050061188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9705142587923447,0.8170264482596088,0.6488293035154165,0.8058369507924283,0.2619047587868481,0.7872713835240921,0.816420146646849,0.8727212089413511,0.82889237091315,0.6433645274062865,0.3817305669773087,0.7317574474215959,0.7245263678327537,0.881673959468843,0.7917803229752861,0.7291294339312498,0.696195931755102,0.6621043570393126,0.8500089166666588,0.0,0.13856208969199882,0.8205565149814313,0.6580539518656493,0.8588834861116025,0.461001158777635,0.681402006375209,0.8067880153899184,0.8776810233898188,0.8616639870668019,0.7887531004422006,0.739873985733857,0.8318864922693117,0.8370192287571654,0.690338557470367,0.8477968050338688,0.3636363085399532,0.3313432811093785,0.0,0.012678288230138064,0.0,0.6282306038125128,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9758546881860393,0.8256547355437929,0.6982527340420068,0.8077297186902732,0.2532751054836229,0.8202869570049752,0.851273953861245,0.8919239900574406,0.8475590867503777,0.7896137253054283,0.8045679793049603,0.6925403190900186,0.7649935630244695,0.8983757842564828,0.8159385105016803,0.81375063926693,0.6701528532978566,0.5998356565338073,0.8510598899832825,0.04347825141777143,0.23031727108910374,0.8258459084244887,0.6873324562948719,0.7612723391037283,0.3783031936258249,0.8346017791739195,0.8558929922845762,0.8935335702670519,0.8318401093133011,0.8061876060741185,0.7806328290918819,0.8102196837218429,0.8169708909300175,0.692745372028838,0.8530357472545529,0.055555540123461075,0.27004219181399,0.0,0.002941176427335641,0.0,0.3502537982169087,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9720135578332686,0.7899858190897862,0.6537113134731748,0.8317841461194267,0.3926521194873465,0.7756570836264549,0.8060210672029667,0.8600128477135941,0.8006448135402408,0.725961020000042,0.7491392013056094,0.8073469354802165,0.7065899563112187,0.8994198447139257,0.7918510126640076,0.7956795655695182,0.7366680416012069,0.5858798673774513,0.8306498537045104,0.0,0.23155504844999947,0.7880855223164125,0.652483152620237,0.8283423553564433,0.29888267738990676,0.7753846152200775,0.8292007897558346,0.8769125080391479,0.7996951596599833,0.6994157101283103,0.7376965988389228,0.8016520165184242,0.7836524698952487,0.6115702428795848,0.8304116596115702,0.0,0.41598694603599556,0.0,0.003072196573391758,0.0,0.26804122790236334,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9665180688249291,0.777762466707129,0.5722544112381687,0.9152237709253074,0.5636588357492425,0.8409785930295486,0.8462434238789016,0.8917181064225064,0.845833332452257,0.830068914735157,0.7939698473463273,0.8602316585709814,0.8351870562265132,0.9002321867471643,0.7640787940161312,0.8067284558643032,0.6935736649938335,0.6125244558461403,0.8480572588465672,0.08163263640150277,0.428571426596445,0.770373975132252,0.5846821853228883,0.9103425546219552,0.5868661654743716,0.846595618458675,0.8696999005167568,0.8719916282720672,0.7746658171285107,0.8257794592830168,0.7975092232529769,0.7522256899615843,0.7980884086078601,0.7047618980498866,0.8247930618596836,0.39130426275994284,0.4426285310090959,0.0,0.002952963503579491,0.0,0.6123188294869778,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9671013943510675,0.801033569086342,0.665386714984652,0.7942194621714274,0.15337423077646886,0.8138728321817634,0.8483507521692151,0.791621815217249,0.7616734730525737,0.7223578647346025,0.6416651702105416,0.7285877398987904,0.8017928273542616,0.8966705484905523,0.8096478688884378,0.7870437496083061,0.6858887358009201,0.5739247273257747,0.7916696686663762,0.0,0.0923076912152936,0.804198911861046,0.6637626957356249,0.8494999590009351,0.28248587171630124,0.8134308025759556,0.8707733065737863,0.8704703914021062,0.7979368923969085,0.7128543284123882,0.7251349253563321,0.8171316857853815,0.7720974659051661,0.620998715614605,0.828854313351521,0.0,0.4058111360493407,0.0,0.0023557125753155173,0.0,0.19576719058816958,0.0,0.0,0.0,0.0,0.0,0.0
